k1,k2,k3,average,difficulty
9,22,26,51.03,188
38,25,30,43.62,271
15,13,54,28.7,285
4,88,0,87.34,272
39,49,14,44,281
3,35,24,79.36,207
25,35,65,58.69,415
47,60,25,70.1,374
15,85,2,44.62,293
35,0,25,61.56,170
40,25,39,60.98,311
0,55,75,40.97,465
28,32,75,68.15,452
15,58,27,54.16,312
9,34,13,67.42,172
45,40,31,76.64,334
25,39,49,78.92,363
28,83,0,26.68,305
14,34,81,35.64,454
6,8,4,43.64,52
52,7,66,59.61,389
23,40,4,74.97,182
1,0,75,32.04,302
19,55,1,44.69,207
3,41,81,37.96,453
13,14,14,89.43,124
39,37,40,37.51,349
35,47,14,34.89,267
18,35,63,26.58,393
33,87,29,63.59,443
26,18,57,71.84,334
38,63,81,37.31,589
21,64,64,42.23,490
4,89,37,88,423
47,34,64,39.95,452
33,7,61,70.31,331
6,82,8,40.77,290
1,70,66,49.33,476
43,28,61,87.4,414
22,61,52,68.69,435
7,65,9,64.4,245
21,17,21,90.19,177
7,34,18,75.68,188
48,39,10,27.92,253
9,57,35,30.05,329
17,72,21,35.44,334
5,84,23,61.52,354
32,64,61,57.29,500
26,27,60,73.96,373
4,85,70,46.52,543
49,44,68,32.63,502
31,50,37,86.24,360
49,2,35,53.04,244
2,16,49,85.79,248
32,81,37,88.08,455
30,63,81,85.45,573
37,83,61,47.5,567
14,13,81,89.05,391
4,23,25,29.71,177
22,2,70,52.08,330
0,14,50,51.28,242
47,21,50,84.07,357
6,73,13,71.16,283
43,29,18,41.63,245
40,65,57,32.3,503
23,1,8,76.21,81
45,72,56,57.49,530
4,56,23,39.8,268
11,73,38,65.92,393
39,2,73,70.08,376
22,78,7,31.78,306
11,74,52,38.38,452
0,62,43,32.99,358
51,62,46,31.62,472
29,75,57,87.15,511
9,45,19,71.59,229
40,20,5,81.42,160
4,61,26,42.89,295
4,35,2,58.76,121
40,44,54,36.65,428
30,28,49,85.91,340
18,17,27,88.74,195
14,16,13,73.73,128
18,35,14,53.55,197
3,48,67,70.48,418
23,59,4,63.13,239
23,66,67,37.71,512
1,76,7,86.06,258
40,55,33,77.27,377
34,85,67,44.69,591
42,79,21,47.84,405
27,22,77,60.95,428
8,44,50,57.98,348
50,41,39,51.23,379
44,44,60,60.9,460
19,43,52,73.28,375
30,60,65,55.41,500
19,55,71,39.12,487
1,35,15,66.3,167
50,22,21,52.89,250
