K1,K2,K3,average,difficulty,,,output,,,,,,
2,48,0,77.13,148,296,"148,77.13,",39.320984,,0,0,0,25.48,
0,74,0,62.35,222,300,"222,62.35,",58.177838,,52,90,82,90.7,
0,62,28,61.8,298,331,"298,61.8,",69.655478,,,,,,
28,0,57,56.23,284,334,"284,56.23,",64.746733,,,,,,
12,10,28,62.62,166,332,"166,62.62,",38.277802,,,,,,
2,36,40,49.6,272,349,"272,49.6,",59.76086,,,,,,
2,48,0,55.16,148,296,"148,55.16,",39.320984,,,,,,
0,74,0,53.03,222,300,"222,53.03,",58.177838,,,,,,
0,62,28,62.31,298,331,"298,62.31,",69.655478,,,,,,
28,0,57,58.35,284,334,"284,58.35,",64.746733,,,,,,
12,10,28,52.27,166,332,"166,52.27,",38.277802,,,,,,
2,36,40,51.4,272,349,"272,51.4,",59.76086,,,,,,
0,38,12,70.28,162,324,"162,70.28,",38.837342,,,,,,
0,63,27,59.04,297,330,"297,59.04,",69.694812,,,,,,
0,58,18,63.63,246,324,"246,63.63,",59.0422,,,,,,
27,0,63,67.84,306,340,"306,67.84,",68.435847,,,,,,
4,66,20,61.31,286,318,"286,61.31,",69.993418,,,,,,
0,30,41,53.01,254,358,"254,53.01,",54.206583,,,,,,
0,38,12,59.97,162,324,"162,59.97,",38.837342,,,,,,
0,63,27,55.31,297,330,"297,55.31,",69.694812,,,,,,
0,58,18,53,246,324,"246,53,",59.0422,,,,,,
27,0,63,61.6,306,340,"306,61.6,",68.435847,,,,,,
4,66,20,37.47,286,318,"286,37.47,",69.993418,,,,,,
0,30,41,52.11,254,358,"254,52.11,",54.206583,,,,,,
0,0,50,80.51,200,400,"200,80.51,",37.34265,,,,,,
0,48,28,63.51,256,337,"256,63.51,",58.64886,,,,,,
0,52,24,56.95,252,332,"252,56.95,",58.806196,,,,,,
8,0,82,68.64,344,382,"344,68.64,",67.577978,,,,,,
52,10,18,64.5,206,258,"206,64.5,",62.489432,,,,,,
4,41,42,64.06,299,344,"299,64.06,",66.769509,,,,,,
0,0,50,65.41,200,400,"200,65.41,",37.34265,,,,,,
0,48,28,50.67,256,337,"256,50.67,",58.64886,,,,,,
0,52,24,52.36,252,332,"252,52.36,",58.806196,,,,,,
8,0,82,68.63,344,382,"344,68.63,",67.577978,,,,,,
52,10,18,63.41,206,258,"206,63.41,",62.489432,,,,,,
4,41,42,50.93,299,344,"299,50.93,",66.769509,,,,,,
0,36,32,62.86,236,347,"236,62.86,",52.202028,,,,,,
8,74,0,64.29,238,290,"238,64.29,",64.51387,,,,,,
0,50,40,54.86,310,344,"310,54.86,",69.18347,,,,,,
0,90,0,67.43,270,300,"270,67.43,",70.75683,,,,,,
23,19,30,45.02,223,310,"223,45.02,",55.559235,,,,,,
4,43,35,55.21,277,338,"277,55.21,",63.113912,,,,,,
0,36,32,72.26,236,347,"236,72.26,",52.202028,,,,,,
8,74,0,63.75,238,290,"238,63.75,",64.51387,,,,,,
