K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100
4,54,32,25.48,298,90,331,,6,82,8,40.77,290,96,302,,0,50,0,60.03,150,50,300,,4,79,59,80.27,481,142,339
6,66,15,26.15,270,87,310,,0,55,75,40.97,465,130,358,,26,33,19,60.14,227,78,291,,0,0,50,80.51,200,50,400
0,90,80,26.36,590,170,347,,43,29,18,41.63,245,90,272,,4,58,28,60.24,294,90,327,,2,48,0,81.01,148,50,296
18,35,63,26.58,393,116,339,,10,64,16,41.94,276,90,307,,6,38,32,60.25,254,76,334,,9,53,28,81.05,289,90,321
28,83,0,26.68,305,111,275,,10,57,23,42.02,283,90,314,,0,50,10,60.25,190,60,317,,40,20,5,81.42,160,65,246
37,50,21,26.73,308,108,285,,21,64,64,42.23,490,149,329,,0,52,23,60.31,248,75,331,,37,12,67,81.48,378,116,326
15,47,17,26.83,239,79,303,,27,68,79,42.5,574,174,330,,0,50,10,60.48,190,60,317,,25,54,14,81.49,268,93,288
46,4,7,26.97,132,57,232,,0,50,0,42.75,150,50,300,,0,20,50,60.51,260,70,371,,5,72,22,81.61,314,99,317
12,37,3,27.77,147,52,283,,4,61,26,42.89,295,91,324,,13,7,66,60.72,311,86,362,,0,50,0,81.73,150,50,300
48,39,10,27.92,253,97,261,,0,90,0,42.91,270,90,300,,0,36,54,60.72,324,90,360,,35,61,62,81.73,501,158,317
51,6,8,28.55,152,65,234,,0,46,49,43.59,334,95,352,,44,44,60,60.9,460,148,311,,40,15,24,81.92,221,79,280
0,82,78,28.64,558,160,349,,38,25,30,43.62,271,93,291,,4,58,28,60.91,294,90,327,,49,26,79,82.17,492,154,319
15,13,54,28.7,285,82,348,,6,8,4,43.64,52,18,289,,27,22,77,60.95,428,126,340,,4,19,67,82.33,333,90,370
4,23,25,29.71,177,52,340,,2,77,37,43.78,383,116,330,,40,25,39,60.98,311,104,299,,4,46,0,82.74,146,50,292
9,57,35,30.05,329,101,326,,39,49,14,44,281,102,275,,0,37,45,61.1,291,82,355,,24,90,42,82.8,486,156,312
47,44,4,30.07,242,95,255,,0,37,45,44.4,291,82,355,,2,56,32,61.13,300,90,333,,50,62,46,83.14,470,158,297
12,88,39,30.15,444,139,319,,15,85,2,44.62,293,102,287,,10,44,40,61.17,312,94,332,,2,74,39,83.82,382,115,332
18,16,56,31.18,308,90,342,,19,55,1,44.69,207,75,276,,4,2,58,61.23,246,64,384,,47,21,50,84.07,357,118,303
51,62,46,31.62,472,159,297,,34,85,67,44.69,591,186,318,,2,11,59,61.29,273,72,379,,4,33,54,85.09,323,91,355
22,78,7,31.78,306,107,286,,44,48,14,44.86,288,106,272,,0,6,70,61.29,298,76,392,,4,46,0,85.44,146,50,292
11,50,3,31.82,184,64,288,,23,19,30,45.02,223,72,310,,10,0,60,61.3,260,70,371,,30,63,81,85.45,573,174,329
1,0,75,32.04,302,76,397,,10,64,16,45.63,276,90,307,,4,66,20,61.31,286,90,318,,0,26,64,85.79,334,90,371
40,65,57,32.3,503,162,310,,8,52,30,45.75,292,90,324,,39,85,3,61.33,345,127,272,,0,10,80,85.79,350,90,389
24,38,32,32.61,290,94,309,,0,0,50,45.83,200,50,400,,0,10,80,61.42,350,90,389,,2,16,49,85.79,248,67,370
49,44,68,32.63,502,161,312,,4,85,70,46.52,543,159,342,,5,84,23,61.52,354,112,316,,20,52,14,85.82,252,86,293
0,62,43,32.99,358,105,341,,2,34,40,47.01,266,76,350,,35,0,25,61.56,170,60,283,,30,28,49,85.91,340,107,318
41,75,25,33.08,407,141,289,,8,44,23,47.32,240,75,320,,4,39,38,61.57,277,81,342,,41,73,82,85.93,629,196,321
22,49,41,33.28,355,112,317,,31,81,70,47.46,585,182,321,,27,0,63,61.6,306,90,340,,0,50,0,85.99,150,50,300
10,35,65,33.84,385,110,350,,37,83,61,47.5,567,181,313,,12,38,30,61.6,258,80,323,,1,76,7,86.06,258,84,307
48,52,70,34.19,532,170,313,,4,54,32,47.83,298,90,331,,8,38,44,61.68,306,90,340,,25,3,14,86.16,115,42,274
7,5,45,34.68,209,57,367,,42,79,21,47.84,405,142,285,,0,52,23,61.79,248,75,331,,31,50,37,86.24,360,118,305
35,47,14,34.89,267,96,278,,0,46,49,47.85,334,95,352,,0,62,28,61.8,298,90,331,,0,50,0,86.9,150,50,300
29,33,67,34.89,425,129,329,,18,42,30,48,282,90,313,,2,14,74,61.84,342,90,380,,1,67,26,86.97,307,94,327
16,22,12,35.03,146,50,292,,4,72,0,48.24,224,76,295,,6,17,60,62.08,303,83,365,,29,75,57,87.15,511,161,317
17,72,21,35.44,334,110,304,,2,40,48,48.47,316,90,351,,0,66,0,62.13,198,66,300,,32,46,12,87.31,250,90,278
14,34,81,35.64,454,129,352,,0,53,23,48.65,251,76,330,,0,61,38,62.14,335,99,338,,4,88,0,87.34,272,92,296
