k1,k2,k3,avg,diff
36,39,9,40.17,225
49,81,28,85.1,453
11,51,7,88.55,203
49,13,28,36.44,249
29,83,26,31.73,411
35,53,62,51.02,477
34,84,26,33.36,424
40,40,20,66.97,280
46,55,24,54.4,353
15,36,48,61.01,330
36,89,41,78.79,503
25,54,80,67.93,532
31,82,1,35.45,312
46,81,22,71.57,423
37,16,20,89.44,202
21,78,38,63.56,428
27,62,68,90.46,512
44,36,82,47.61,524
41,68,38,84.66,438
25,14,78,74.7,404
25,54,82,82.79,540
31,11,22,80.78,183
14,36,47,85.46,324
20,30,63,69,382
33,13,74,40.13,401
17,64,19,85.43,302
30,21,62,86.86,371
9,79,63,27.8,507
18,14,56,53.75,302
43,58,29,71.87,376
46,71,37,51.07,453
30,76,65,69.75,548
7,17,21,66.63,149
40,27,0,43.58,161
6,15,32,27.26,185
14,89,11,28.93,339
13,79,71,37.63,547
2,8,9,36.25,64
19,82,18,68.93,356
42,6,16,62.75,166
12,39,63,53.39,393
28,60,0,73.77,236
48,4,55,42.33,328
14,87,9,55.72,325
17,1,16,40.24,101
46,50,55,64.27,462
17,15,55,80.88,299
37,9,69,80.2,377
14,37,46,60.73,323
9,44,16,53.3,214
43,87,50,79.93,547
17,20,42,30.27,262
29,69,68,42.56,537
3,55,44,54.08,347
24,35,69,73.34,429
12,9,61,36.75,295
47,38,71,53.92,492
32,7,29,38.47,201
8,37,70,84.47,407
52,39,58,65.62,453
7,83,55,76.28,483
25,60,77,72.87,538
14,85,68,87.9,555
18,82,29,31.45,398
50,36,37,31.56,356
43,23,62,39.72,403
3,15,81,61.09,375
16,25,65,62.25,367
27,44,37,27.78,334
16,31,28,45.05,237
14,15,46,40.81,257
10,44,53,70.88,364
3,64,53,72.89,410
25,25,1,29.99,129
25,5,66,50.53,329
39,23,36,69.48,291
37,74,72,49.88,584
14,43,42,65.55,325
52,8,57,89.83,356
37,82,26,57.56,424
0,19,62,50.35,305
6,80,25,73.44,352
38,24,55,65.64,368
45,50,0,72.73,240
15,19,48,29.42,279
4,60,3,41.63,200
17,40,38,52.77,306
34,18,54,25.87,338
40,46,72,31.17,506
2,50,47,42.16,342
18,52,43,25.9,364
34,52,71,33.43,508
9,75,72,38.07,531
17,48,17,37.99,246
0,21,53,80.42,275
28,18,73,35.27,402
14,70,80,56.16,558
49,18,42,57.68,320
26,9,18,83.57,151
7,3,36,26.02,167
38,82,71,26.9,606
2,51,34,26.93,293
50,25,45,39.43,355
38,34,17,64.29,246
34,19,0,71.33,125
4,38,37,83.34,270
35,47,46,50.48,395
43,18,3,76.25,152
4,59,44,82.79,361
35,5,30,88.92,205
1,1,3,67.21,17
41,89,12,30.01,397
10,77,16,73.55,315
49,85,51,64.97,557
7,7,34,63.52,171
27,88,73,42.52,610
51,2,67,25.71,376
4,15,3,63.06,65
34,89,79,49.98,651
48,61,50,36.84,479
24,66,38,39.95,398
1,22,66,27.95,332
13,87,70,27.87,567
32,27,10,63.39,185
49,34,20,51.63,280
48,40,10,31.4,256
0,77,51,33.18,435
16,1,52,70.93,243
26,3,24,29.39,157
51,19,11,59.01,203
47,48,34,73.97,374
13,62,3,81.27,224
32,84,15,49.2,376
45,70,51,37.02,504
0,89,29,76.54,383
2,42,34,73.93,266
19,11,6,72.69,95
12,80,0,36.93,264
8,22,60,36.84,322
9,73,52,83.61,445
10,24,78,76.81,404
30,46,47,52.82,386
24,10,64,82.49,334
14,48,53,31.3,384
52,18,81,66.89,482
2,83,78,68.79,565
30,37,72,28.45,459
48,32,11,49.52,236
12,9,44,82.37,227
45,42,34,44.49,352
2,4,69,46.17,292
10,74,59,81.15,478
42,81,49,26.2,523
0,70,17,75.31,278
15,78,55,75.44,484
24,89,51,56.21,519
42,8,54,43.38,324
34,41,46,44.07,375
15,84,72,26.93,570
6,27,70,88.72,373
10,44,16,67.6,216
16,51,24,70.45,281
30,61,19,39.53,319
44,73,33,63.58,439
49,45,55,73.19,453
52,30,15,39.81,254
17,41,34,73.03,293
9,45,7,63.89,181
51,44,80,71.07,554
19,13,28,44.28,189
37,0,17,74.19,142
40,74,69,77.41,578
32,51,53,72.75,429
51,45,19,65.69,313
7,65,23,45.78,301
52,48,74,44.52,544
18,15,58,38.73,313
31,41,75,75.08,485
40,84,82,52.31,660
2,22,67,73.56,338
5,2,34,47.12,152
8,82,37,81.62,410
29,84,29,68.96,426
34,48,28,75.66,324
37,22,13,45.01,192
6,30,54,42.47,318
33,9,17,48.92,161
45,56,80,51.46,578
19,33,80,68.26,457
24,46,29,26.07,302
9,18,42,63.15,240
45,12,40,32.53,286
40,67,45,65.66,461
3,16,36,45.72,198
48,25,64,65.2,427
11,79,3,55.11,271
30,30,15,38.04,210
34,83,26,61.68,421
9,88,61,87,526
11,17,25,63.57,173
33,67,40,63.99,427
44,34,79,32.81,506
39,27,64,58.37,415
51,54,58,63,496
12,9,1,39.75,55
20,63,29,82.94,345
